model_alias,condition,context_id,length,total_samples,eligible_sequences,terminated_before_length,canonical_sequences,noncanonical_sequences,canonical_percentage,canonical_ci95_low,canonical_ci95_high,model_label,survival_percentage,canonical_yield_percentage
mamba-130m,unconditional,unconditional,128,64,57,7,42,15,73.6842105263158,61.02342073651618,83.35421340202693,Mamba 130M,89.0625,65.625
mamba-130m,unconditional,unconditional,256,64,43,21,23,20,53.48837209302326,38.91564047231397,67.48894229587816,Mamba 130M,67.1875,35.9375
mamba-130m,unconditional,unconditional,512,64,32,32,14,18,43.75,28.16533111504036,60.67440886314801,Mamba 130M,50.0,21.875
mamba-130m,unconditional,unconditional,1024,64,19,45,3,16,15.789473684210526,5.520471638534142,37.565475270329074,Mamba 130M,29.6875,4.6875
mamba-130m,unconditional,unconditional,2048,64,13,51,1,12,7.6923076923076925,1.3710421242556587,33.31395092109959,Mamba 130M,20.3125,1.5625
mamba-130m,wikitext,__pooled__,32,1600,1596,4,1484,112,92.98245614035088,,,Mamba 130M,99.75,92.75
mamba-130m,wikitext,__pooled__,64,1600,1593,7,1357,236,85.18518518518519,,,Mamba 130M,99.5625,84.8125
mamba-130m,wikitext,__pooled__,128,1600,1578,22,1139,439,72.17997465145754,,,Mamba 130M,98.625,71.1875
mamba-130m,wikitext,__pooled__,256,1600,1522,78,777,745,51.05124835742444,,,Mamba 130M,95.125,48.5625
mamba-130m,wikitext,__pooled__,512,1600,1396,204,347,1049,24.856733524355302,,,Mamba 130M,87.25,21.6875
mamba-130m,wikitext,__pooled__,1024,1600,1196,404,53,1143,4.431438127090301,,,Mamba 130M,74.75,3.3125
mamba-130m,wikitext,__pooled__,2048,1600,865,735,6,859,0.6936416184971098,,,Mamba 130M,54.0625,0.375
