context_id,length,total_samples,eligible_sequences,terminated_before_length,canonical_sequences,noncanonical_sequences,canonical_percentage,canonical_ci95_low,canonical_ci95_high
document-025,512,16,14,2,1,13,7.142857142857143,1.272221524789094,31.468704424151117
document-025,1024,16,13,3,0,13,0.0,0.0,22.80953723541984
document-025,2048,16,7,9,0,7,0.0,5.551115123125783e-15,35.433043506668746
document-026,32,16,15,1,14,1,93.33333333333333,70.18347012621999,98.81331045067316
document-026,64,16,15,1,14,1,93.33333333333333,70.18347012621999,98.81331045067316
document-026,128,16,15,1,12,3,80.0,54.81455128483065,92.95245065301843
document-026,256,16,14,2,10,4,71.42857142857143,45.350915670106815,88.27862135542308
document-026,512,16,13,3,4,9,30.76923076923077,12.680703655710515,57.63065681945096
document-026,1024,16,10,6,0,10,0.0,0.0,27.75327998628892
document-026,2048,16,4,12,0,4,0.0,0.0,48.98908364545973
document-027,32,16,15,1,13,2,86.66666666666667,62.11801716767764,96.26387408969346
document-027,64,16,15,1,11,4,73.33333333333333,48.04956594401943,89.10254667430762
document-027,128,16,14,2,9,5,64.28571428571429,38.7644231039074,83.65526824644587
document-027,256,16,14,2,4,10,28.571428571428573,11.72137864457692,54.649084329893185
document-027,512,16,14,2,1,13,7.142857142857143,1.272221524789094,31.468704424151117
document-027,1024,16,8,8,0,8,0.0,0.0,32.440756488388026
document-027,2048,16,6,10,0,6,0.0,2.7755575615628914e-15,39.033428790216526
document-028,32,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-028,64,16,15,1,12,3,80.0,54.81455128483065,92.95245065301843
document-028,128,16,15,1,11,4,73.33333333333333,48.04956594401943,89.10254667430762
document-028,256,16,15,1,11,4,73.33333333333333,48.04956594401943,89.10254667430762
document-028,512,16,14,2,4,10,28.571428571428573,11.72137864457692,54.649084329893185
document-028,1024,16,13,3,1,12,7.6923076923076925,1.3710421242556587,33.31395092109959
document-028,2048,16,11,5,1,10,9.090909090909092,1.6232172885884855,37.73584364515957
document-029,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-029,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-029,128,16,16,0,12,4,75.0,50.50168346449122,89.81793250878695
document-029,256,16,16,0,8,8,50.0,27.999563610326017,72.00043638967398
document-029,512,16,16,0,7,9,43.75,23.098652405492352,66.82144360118811
document-029,1024,16,15,1,1,14,6.666666666666667,1.1866895493268554,29.816529873780027
document-029,2048,16,10,6,0,10,0.0,0.0,27.75327998628892
document-030,32,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-030,64,16,16,0,12,4,75.0,50.50168346449122,89.81793250878695
document-030,128,16,15,1,9,6,60.0,35.7468301206246,80.17550385865842
document-030,256,16,15,1,2,13,13.333333333333334,3.736125910306537,37.881982832322365
document-030,512,16,14,2,1,13,7.142857142857143,1.272221524789094,31.468704424151117
document-030,1024,16,11,5,0,11,0.0,0.0,25.88329669680317
document-030,2048,16,6,10,0,6,0.0,2.7755575615628914e-15,39.033428790216526
document-031,32,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-031,64,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-031,128,16,16,0,12,4,75.0,50.50168346449122,89.81793250878695
document-031,256,16,16,0,8,8,50.0,27.999563610326017,72.00043638967398
document-031,512,16,14,2,5,9,35.714285714285715,16.34473175355414,61.2355768960926
document-031,1024,16,14,2,1,13,7.142857142857143,1.272221524789094,31.468704424151117
document-031,2048,16,10,6,0,10,0.0,0.0,27.75327998628892
document-032,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-032,64,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-032,128,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-032,256,16,15,1,9,6,60.0,35.7468301206246,80.17550385865842
document-032,512,16,14,2,6,8,42.857142857142854,21.380798904474123,67.40935542034926
document-032,1024,16,13,3,1,12,7.6923076923076925,1.3710421242556587,33.31395092109959
document-032,2048,16,7,9,0,7,0.0,5.551115123125783e-15,35.433043506668746
document-033,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-033,64,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-033,128,16,16,0,11,5,68.75,44.40435583474066,85.83535614521796
document-033,256,16,13,3,7,6,53.84615384615385,29.143795714506005,76.79393219046169
document-033,512,16,11,5,2,9,18.181818181818183,5.136768974608513,47.69805619608442
document-033,1024,16,8,8,0,8,0.0,0.0,32.440756488388026
document-033,2048,16,5,11,0,5,0.0,0.0,43.44824647831748
document-034,32,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-034,64,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-034,128,16,16,0,11,5,68.75,44.40435583474066,85.83535614521796
document-034,256,16,14,2,7,7,50.0,26.799202452413635,73.20079754758638
document-034,512,16,14,2,3,11,21.428571428571427,7.571386712693185,47.589230586600294
document-034,1024,16,12,4,0,12,0.0,2.7755575615628914e-15,24.249400665524085
document-034,2048,16,7,9,0,7,0.0,5.551115123125783e-15,35.433043506668746
document-035,32,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-035,64,16,16,0,11,5,68.75,44.40435583474066,85.83535614521796
document-035,128,16,16,0,10,6,62.5,38.64104054550271,81.51876744113636
document-035,256,16,16,0,4,12,25.0,10.182067491213049,49.49831653550877
document-035,512,16,15,1,3,12,20.0,7.0475493469815635,45.185448715169365
document-035,1024,16,11,5,0,11,0.0,0.0,25.88329669680317
document-035,2048,16,8,8,0,8,0.0,0.0,32.440756488388026
document-036,32,16,15,1,14,1,93.33333333333333,70.18347012621999,98.81331045067316
document-036,64,16,15,1,11,4,73.33333333333333,48.04956594401943,89.10254667430762
document-036,128,16,15,1,10,5,66.66666666666667,41.71354773851977,84.82367556028527
document-036,256,16,15,1,8,7,53.333333333333336,30.116980025498396,75.19046463426261
document-036,512,16,14,2,5,9,35.714285714285715,16.34473175355414,61.2355768960926
document-036,1024,16,11,5,0,11,0.0,0.0,25.88329669680317
document-036,2048,16,8,8,0,8,0.0,0.0,32.440756488388026
document-037,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-037,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-037,128,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-037,256,16,15,1,7,8,46.666666666666664,24.809535365737386,69.88301997450161
document-037,512,16,12,4,5,7,41.666666666666664,19.326031365875664,68.04886874504503
document-037,1024,16,9,7,1,8,11.11111111111111,1.9890887638544907,43.4999705576656
document-037,2048,16,5,11,0,5,0.0,0.0,43.44824647831748
