i Llama2 Gemma2B Mamba
80 96.1864395142 86.7469940186 73.8197479248
81 96.1864395142 86.6935501099 73.8197479248
82 96.6101684570 86.6935501099 72.5321884155
83 96.6101684570 86.6396789551 72.9613723755
84 96.5811996460 86.6396789551 72.5321884155
85 96.5811996460 86.6396789551 74.2489242554
86 96.5665206909 86.6396789551 73.2758636475
87 96.5665206909 86.6396789551 71.1206893921
88 96.5665206909 86.6396789551 72.7272720337
89 96.5665206909 86.6396789551 70.5627670288
90 96.5665206909 86.5853652954 71.8614730835
91 96.5665206909 86.5306167603 72.2943725586
92 96.5665206909 86.4197540283 70.3056716919
93 96.1206893921 86.3636398315 71.1790390015
94 96.1206893921 86.3636398315 69.4323120117
95 96.5517196655 85.9504089355 69.8689956665
96 96.5517196655 85.8921203613 69.4323120117
97 96.1038970947 86.2500000000 69.4323120117
98 96.1038970947 86.6108779907 69.4323120117
99 96.5367965698 86.6108779907 68.1222763062
100 96.1038970947 86.6108779907 68.9956283569
101 96.0869522095 86.6108779907 68.5589523315
102 96.5217437744 86.6108779907 67.5438613892
103 96.5217437744 86.5546264648 67.9824600220
104 96.5065460205 86.5546264648 67.4008789062
105 96.4912261963 86.0169448853 68.2819366455
106 96.4912261963 86.0169448853 67.4008789062
107 95.6140365601 86.0169448853 67.4008789062
108 95.1754379272 85.9574508667 67.8414077759
109 95.6140365601 85.1063842773 66.8141632080
110 96.0526275635 85.1063842773 66.3716812134
111 95.5947189331 85.1063842773 66.6666717529
112 95.5752182007 84.6153869629 66.6666717529
113 96.0177001953 84.6153869629 66.5178604126
114 95.1327438354 84.6153869629 66.0714263916
115 95.1111145020 84.6153869629 66.5178604126
116 95.5357131958 84.6153869629 66.0714263916
117 95.0892868042 84.6153869629 65.6250000000
118 95.0892868042 84.6153869629 65.6250000000
119 95.5357131958 84.6153869629 63.6771316528
120 95.0892868042 84.6153869629 65.9192810059
121 95.0892868042 84.6153869629 64.1255645752
122 95.5357131958 84.6153869629 64.5739898682
123 95.0892868042 84.9785385132 63.0630607605
124 95.0892868042 84.5493545532 62.4434394836
125 95.5357131958 84.1201705933 61.9909515381
126 95.0892868042 84.0517196655 62.4434394836
127 94.6428604126 84.0517196655 61.0859756470
128 95.0672607422 83.9826812744 60.6334877014
