context_id,length,total_samples,eligible_sequences,terminated_before_length,canonical_sequences,noncanonical_sequences,canonical_percentage,canonical_ci95_low,canonical_ci95_high
dataset-002,8,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-002,9,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-002,10,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-002,11,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
dataset-002,12,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-002,13,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-002,14,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-002,15,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-002,16,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-002,17,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-002,18,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-002,19,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-002,20,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-002,21,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-002,22,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-002,23,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-002,24,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-002,25,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-002,26,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-002,27,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
dataset-002,28,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,29,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,30,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,31,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,32,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,33,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,34,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,35,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,36,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,37,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,38,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,39,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,40,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,41,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,42,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,43,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,44,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,45,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,46,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,47,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,48,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,49,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,50,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,51,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,52,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,53,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,54,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,55,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,56,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,57,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,58,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
dataset-002,59,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
