context_id,length,total_samples,eligible_sequences,terminated_before_length,canonical_sequences,noncanonical_sequences,canonical_percentage,canonical_ci95_low,canonical_ci95_high
document-015,512,16,16,0,12,4,75.0,50.50168346449122,89.81793250878695
document-015,1024,16,16,0,8,8,50.0,27.999563610326017,72.00043638967398
document-015,2048,16,12,4,4,8,33.333333333333336,13.812009109121314,60.93779111272004
document-016,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-016,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-016,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-016,256,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-016,512,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-016,1024,16,15,1,13,2,86.66666666666667,62.11801716767764,96.26387408969346
document-016,2048,16,13,3,8,5,61.53846153846154,35.5228915126657,82.29029220223742
document-017,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-017,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-017,128,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-017,256,16,15,1,12,3,80.0,54.81455128483065,92.95245065301843
document-017,512,16,14,2,11,3,78.57142857142857,52.410769413399706,92.42861328730683
document-017,1024,16,14,2,8,6,57.142857142857146,32.59064457965074,78.61920109552588
document-017,2048,16,13,3,4,9,30.76923076923077,12.680703655710515,57.63065681945096
document-018,32,16,16,0,0,16,0.0,0.0,19.36076805344365
document-018,64,16,16,0,0,16,0.0,0.0,19.36076805344365
document-018,128,16,16,0,0,16,0.0,0.0,19.36076805344365
document-018,256,16,16,0,0,16,0.0,0.0,19.36076805344365
document-018,512,16,15,1,0,15,0.0,0.0,20.388330103584863
document-018,1024,16,14,2,0,14,0.0,1.3877787807814457e-15,21.531080273763582
document-018,2048,16,4,12,0,4,0.0,0.0,48.98908364545973
document-019,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-019,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-019,128,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-019,256,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
